PId,MobilityAid,ImageSet,ImageID,ImageType,Selection
118,Walking cane,7,2377,CurbRamp,Yes
118,Walking cane,7,44798,CurbRamp,Yes
118,Walking cane,8,156512,NoCurbRamp,Yes
118,Walking cane,8,175408,NoCurbRamp,Yes
118,Walking cane,8,168483,NoCurbRamp,Yes
118,Walking cane,8,176648,NoCurbRamp,Yes
118,Walking cane,8,145241,NoCurbRamp,Yes
118,Walking cane,8,141806,NoCurbRamp,Yes
119,Manual wheelchair,0,997,Obstacle,No
119,Manual wheelchair,0,191782,Obstacle,Yes
119,Manual wheelchair,0,15148,Obstacle,Unsure
119,Manual wheelchair,0,46864,Obstacle,Unsure
119,Manual wheelchair,0,264820,Obstacle,Yes
119,Manual wheelchair,0,12344,Obstacle,No
119,Manual wheelchair,1,229205,Obstacle,Unsure
119,Manual wheelchair,1,7558,Obstacle,Unsure
119,Manual wheelchair,1,3850,Obstacle,Yes
119,Manual wheelchair,1,191179,Obstacle,Yes
119,Manual wheelchair,1,4765,Obstacle,Yes
119,Manual wheelchair,1,12830,Obstacle,No
119,Manual wheelchair,2,36038,Obstacle,Unsure
119,Manual wheelchair,2,3430,Obstacle,No
119,Manual wheelchair,2,100492,Obstacle,Unsure
119,Manual wheelchair,2,208754,Obstacle,No
119,Manual wheelchair,2,139731,Obstacle,No
119,Manual wheelchair,2,197213,Obstacle,No
119,Manual wheelchair,3,2022,SurfaceProblem,Unsure
119,Manual wheelchair,3,209069,SurfaceProblem,Unsure
119,Manual wheelchair,3,562,SurfaceProblem,Yes
119,Manual wheelchair,3,5941,SurfaceProblem,No
119,Manual wheelchair,3,11350,SurfaceProblem,Yes
119,Manual wheelchair,3,11707,SurfaceProblem,Unsure
119,Manual wheelchair,4,2080,SurfaceProblem,Yes
119,Manual wheelchair,4,262,SurfaceProblem,No
119,Manual wheelchair,4,3128,SurfaceProblem,Yes
119,Manual wheelchair,4,26619,SurfaceProblem,No
119,Manual wheelchair,4,39245,SurfaceProblem,Yes
119,Manual wheelchair,4,39006,SurfaceProblem,Yes
119,Manual wheelchair,5,3172,SurfaceProblem,Unsure
119,Manual wheelchair,5,456,SurfaceProblem,Unsure
119,Manual wheelchair,5,2697,SurfaceProblem,Unsure
119,Manual wheelchair,5,273517,SurfaceProblem,Unsure
119,Manual wheelchair,5,24214,SurfaceProblem,Yes
119,Manual wheelchair,5,631,SurfaceProblem,Unsure
119,Manual wheelchair,6,1777,SurfaceProblem,Unsure
119,Manual wheelchair,6,7061,SurfaceProblem,Unsure
119,Manual wheelchair,6,669,SurfaceProblem,No
119,Manual wheelchair,6,5518,SurfaceProblem,No
119,Manual wheelchair,7,16482,CurbRamp,Yes
119,Manual wheelchair,7,46135,CurbRamp,Unsure
119,Manual wheelchair,7,258182,CurbRamp,Yes
119,Manual wheelchair,7,3047,CurbRamp,Yes
119,Manual wheelchair,7,2377,CurbRamp,Yes
119,Manual wheelchair,7,44798,CurbRamp,Unsure
119,Manual wheelchair,8,156512,NoCurbRamp,Unsure
119,Manual wheelchair,8,168483,NoCurbRamp,Unsure
119,Manual wheelchair,8,176648,NoCurbRamp,No
119,Manual wheelchair,8,141806,NoCurbRamp,Yes
119,Manual wheelchair,8,175408,NoCurbRamp,No
119,Manual wheelchair,8,145241,NoCurbRamp,Unsure
121,Mobility scooter,0,46864,Obstacle,Yes
121,Mobility scooter,0,264820,Obstacle,No
121,Mobility scooter,0,997,Obstacle,No
121,Mobility scooter,0,191782,Obstacle,Yes
121,Mobility scooter,0,12344,Obstacle,Unsure
121,Mobility scooter,0,15148,Obstacle,Yes
121,Mobility scooter,1,229205,Obstacle,Yes
121,Mobility scooter,1,7558,Obstacle,No
121,Mobility scooter,1,3850,Obstacle,Yes
121,Mobility scooter,1,191179,Obstacle,No
121,Mobility scooter,1,4765,Obstacle,No
121,Mobility scooter,1,12830,Obstacle,No
121,Mobility scooter,2,208754,Obstacle,Yes
121,Mobility scooter,2,139731,Obstacle,No
121,Mobility scooter,2,3430,Obstacle,Yes
121,Mobility scooter,2,36038,Obstacle,No
121,Mobility scooter,2,100492,Obstacle,No
121,Mobility scooter,2,197213,Obstacle,No
121,Mobility scooter,3,2022,SurfaceProblem,No
